,index,id,theta1,theta2,theta3,theta4,theta5,theta6,thetad1,thetad2,thetad3,thetad4,thetad5,thetad6,tau1,tau2,tau3,tau4,tau5,dm1,dm2,dm3,dm4,dm5,da1,da2,da3,da4,da5,db1,db2,db3,db4,db5,target
0,6633,6633,1.258654859,-0.929409535,-0.050415367,1.607280211,-1.666597083,-0.562623323,-2.119563691,2.811831128,1.187247808,-0.28028324,-2.319507291,-2.038873394,-53.56488883,-68.61293067,41.04798215,-48.55115652,-39.71611454,0.597408743,2.790619372,0.657922976,-0.098849923,2.588031962,2.923101762,1.900982399,2.847008247,1.694073299,2.655953237,2.560638509,0.539490908,1.198796281,1.102963528,2.200706618,-0.260065226
1,3767,3767,-0.37838641,1.898101631,0.13737576,-2.138863533,0.37656691,-0.470433165,-0.128412334,2.4229571,0.099426366,1.464426192,1.07327568,-0.289730595,1.866959721,-48.05189067,-45.44166045,-11.77988565,-11.04576329,0.833312989,1.211212973,1.263079319,2.147579436,1.540373247,0.560584652,2.12790027,0.941830994,1.008708214,2.117702011,0.880092007,0.536593308,1.338948851,1.78053419,1.236616921,-0.204540199
2,1224,1224,-0.611485387,0.900390763,-0.263778805,0.021346499,2.09776964,0.952058111,0.991799109,-0.357289954,-2.077107187,0.863808661,-0.705093298,0.276719943,-38.84482539,-64.5424803,-43.31473197,-59.20676209,47.31818504,0.913952444,1.046076136,0.628605802,2.484230836,2.430639094,3.046672179,1.815470797,0.900659166,0.70372394,2.219781384,2.447250486,1.239661469,1.288069824,2.462065981,2.240620177,0.559202236
3,3273,3273,2.217916691,1.709197055,2.421718439,0.363645276,2.080354644,-0.869140624,2.061683142,0.293323807,-0.419035674,1.459496946,-0.751150641,2.413695313,-50.08691304,17.5002362,-4.291153734,-58.06019328,29.48094772,2.404851165,0.783482285,1.013806173,2.49529642,1.677704058,1.87993564,2.618496212,2.458994561,0.537412134,2.60285175,2.632219339,0.755636677,2.973980249,2.851320806,1.0287815,-0.342737522
4,4446,4446,-2.380333838,-1.426494434,-1.665379769,-1.018660082,2.080026201,3.152885683,0.557293039,0.058470951,-0.058548694,-1.015757512,1.010205212,-0.079878424,-21.14860577,-45.0366649,-72.55411697,65.17533179,-55.48097971,1.164273932,2.830625426,1.013827642,1.946145385,2.150016555,1.202644383,1.527161039,1.470629664,1.060352505,0.446625627,2.519833286,1.992571455,1.263568523,0.810387136,1.646483342,-0.703349668
5,5298,5298,-0.108823691,-0.756849649,-0.466919773,1.806821172,-0.119737818,1.275026271,1.036144867,-3.141184217,-0.408056107,-1.849265066,0.764672142,-1.584278967,67.45783413,-10.36421945,33.28618593,-30.3089004,48.4654977,1.047477572,0.862906183,2.707330101,1.876410634,1.714031926,1.204414985,0.813538418,2.049299171,1.379370551,1.339836498,1.610668443,1.560941628,3.254428541,2.552335118,1.405806142,0.290087722
6,1591,1591,1.627056209,-1.381887271,1.032081329,2.509536224,1.740332359,1.250980103,1.666795693,1.958038918,0.25847003,1.701807873,1.606700434,-0.406559735,48.90392452,55.20020002,-14.05831087,-38.47169592,-68.05709387,1.086869059,0.354915117,1.834650647,2.128840837,1.525551583,2.463098201,-0.538937064,3.220894846,1.326712132,3.100595908,0.166196473,1.745597043,3.179944765,1.459080935,1.469674585,0.317497496
7,5750,5750,0.350848358,0.68326754,0.299181025,1.003307518,2.542536262,1.247963816,-0.394901002,1.137262569,1.574611731,0.076732402,-1.618579223,-0.423254597,44.86021189,36.3954171,55.085432,29.31803281,17.38860381,1.363070881,1.906695497,1.772265581,1.900393811,1.610714407,1.796251965,1.556434992,0.616779634,1.920085252,0.607499376,1.878476501,1.063539961,1.124363824,0.625342826,0.316093524,0.448330912
8,1376,1376,1.843095123,1.38273212,2.704128031,2.017179107,0.373976459,0.95553571,1.702311641,-1.184138318,-2.30292076,0.370766773,-1.523427422,0.996676058,-41.95139845,15.24401373,-24.98182897,-63.87479564,37.07527734,1.909236078,1.827693918,0.080322455,1.033731774,1.946511589,1.87860666,0.446454798,1.135861781,0.936426994,2.235144202,0.471409601,0.400191755,0.946924458,3.057765528,1.910372529,0.530579583
9,3785,3785,0.241998534,-1.343689044,-0.16829724,0.536264107,0.77085025,1.544289351,1.412347789,-1.454623993,1.374764323,2.089461665,-1.276582516,2.629013002,-12.54004639,-64.93383558,25.55771224,42.66971967,-19.46356771,1.577428175,-0.05551889,1.822927715,1.862021494,1.013875493,2.020565472,2.734771757,3.118603411,2.030917046,1.279771578,1.012039538,0.421766039,1.812764332,1.63886018,2.516673822,0.607716541
10,8069,8069,1.773005716,1.666798085,0.750566682,2.823889262,-1.336922365,0.044249857,0.497518869,-0.136736442,-2.242707986,-0.378552873,2.231459806,1.189885738,44.13946623,-49.9263967,28.69840603,46.11167562,59.8983883,0.756902955,2.232192101,1.233929128,1.939091965,1.072994916,1.652653756,2.387541782,1.065409566,0.292187774,3.265266659,2.255716416,2.214735682,3.777713508,1.118972961,1.536619823,0.677902559
